Date,Open,High,Low,Close,Volume,Range,Range (BTC),Action
5/18/15,236.886993,237.210007,232.460007,233.128006,16780300,4.75,0.020212121,Hold
5/19/15,233.037003,234.151001,231.817001,231.947006,14241900,2.334,0.010039055,Hold
5/20/15,231.889999,234.682999,231.841995,234.018005,15499400,2.841004,0.012195558,Hold
5/21/15,234.016006,236.242004,233.835007,235.343994,15108900,2.406997,0.010256507,Hold
5/22/15,235.320999,240.968994,235.059998,240.348007,27003000,5.908996,0.024844991,Hold
5/23/15,240.285995,241.024994,238.690994,238.871994,14605000,2.334,0.009742089,Hold
5/24/15,238.975998,241.977997,238.811005,240.953003,11508000,3.166992,0.013197752,Hold
5/25/15,240.927002,241.020996,236.636993,237.110001,14423900,4.384003,0.018341689,Hold
5/26/15,237.104004,238.242004,235.692001,237.115997,16425000,2.550003,0.010754515,Hold
5/27/15,237.065002,238.636002,236.695007,237.283005,18837000,1.940995,0.008183844,Hold
5/28/15,237.257004,237.824005,236.651993,237.408005,13829600,1.172012,0.00493827,Hold
5/29/15,237.376999,237.522003,235.731003,237.095993,14805000,1.791,0.007549429,Hold
5/30/15,237.091995,237.093002,232.046005,233.345001,14098600,5.046997,0.021456633,Hold
5/31/15,233.134995,233.251999,229.542007,230.190002,14730800,3.709992,0.016014642,Hold
6/1/15,230.233002,231.712997,221.296005,222.925995,26090500,10.416992,0.045974998,Hold
6/2/15,222.893997,226.416,222.419006,225.802994,20459000,3.996994,0.017816005,Hold
6/3/15,225.735992,227.404007,223.929993,225.873993,17752400,3.474014,0.015385019,Hold
6/4/15,225.772003,226.580994,224.054001,224.324005,14728100,2.526993,0.011228684,Hold
6/5/15,224.154007,225.968002,223.179001,224.951996,18056500,2.789001,0.012420235,Hold
6/6/15,225.005005,225.718994,224.378998,225.619003,11131500,1.339996,0.005947291,Hold
6/7/15,225.595993,226.194,222.651993,222.880997,13318400,3.542007,0.015795713,Hold
6/8/15,222.878998,229.464005,222.839005,228.488998,23378400,6.625,0.029355205,Hold
6/9/15,228.537994,230.953995,227.929001,229.048004,28353100,3.024994,0.013221532,Hold
6/10/15,228.994995,229.781998,228.009995,228.802994,15904800,1.772003,0.007741419,Hold
6/11/15,228.854996,230.287003,228.766998,229.705002,14416000,1.520005,0.006629471,Hold
6/12/15,229.705002,231.057007,229.313004,229.981995,14017700,1.744003,0.007587785,Hold
6/13/15,229.919998,232.651993,229.210007,232.401993,13305300,3.441986,0.014889995,Hold
6/14/15,232.442001,234.858002,232.003998,233.542999,12165900,2.854004,0.012249339,Hold
6/15/15,233.421997,237.835999,233.421997,236.822998,19912100,4.414002,0.018773201,Hold
6/16/15,236.764999,251.742004,236.121994,250.895004,41612000,15.62001,0.064061067,Hold
6/17/15,250.822998,256.852997,246.475998,249.283997,43858400,10.376999,0.041499116,Hold
6/18/15,249.427994,252.108002,244.126999,249.007004,30980200,7.981003,0.032024248,Hold
6/19/15,249.042999,250.977005,243.787003,244.606003,23965300,7.190002,0.029130017,Hold
6/20/15,244.529999,245.828003,240.626999,245.212006,20608100,5.201004,0.021239771,Hold
6/21/15,245.100006,245.223999,241.882004,243.944,10600900,3.341995,0.013667461,Hold
6/22/15,243.968994,247.917007,243.779007,246.990005,17692500,4.138,0.016856805,Hold
6/23/15,246.927002,247.304001,243.132996,244.296005,15108700,4.171005,0.016982124,Hold
6/24/15,244.281998,244.341003,240.514999,240.514999,17344900,3.826004,0.015783943,Hold
6/25/15,240.365005,243.332001,240.365005,242.798996,16133100,2.966996,0.012281528,Hold
6/26/15,242.604004,243.748993,241.552994,243.593994,13983500,2.195999,0.009033353,Hold
6/27/15,243.548996,251.339005,243.117004,250.990005,20488600,8.222001,0.033251173,Hold
6/28/15,250.955002,251.171997,247.434006,249.011002,15137600,3.737991,0.014952981,Hold
6/29/15,248.720993,257.173004,248.580994,257.063995,34742900,8.59201,0.033974951,Hold
6/30/15,257.036011,267.867004,255.945999,263.071991,44533800,11.921005,0.045840498,Hold
7/1/15,263.345001,265.171997,255.774002,258.621002,27029800,9.397995,0.036009989,Hold
7/2/15,258.552002,261.631012,254.115997,255.412003,21551900,7.515015,0.029243351,Hold
7/3/15,255.459,257.076996,253.505005,256.335999,19033800,3.571991,0.013958679,Hold
7/4/15,256.490997,261.457001,254.199997,260.885986,15620400,7.257004,0.028053061,Hold
7/5/15,260.804993,274.506012,258.700989,271.912994,44156100,15.805023,0.059337298,Hold
